Name,Height (meters),Height (feet),Latitude,Longitude
Mont Blanc de Courmayeur,4748.0,15577,45.828889,6.869444
Sunset Peak (Jammu and Kashmir),4745.0,15568,33.68,74.540833
Mount Slaggard,4742.0,15558,61.172778,-140.584444
Pico Piedras Blancas,4740.0,15551,8.85,-71.95
Pico El Toro,4730.0,15518,8.35,-71.25
Tatakooti Peak,4725.0,15502,33.704278,74.516733
Rumiñahui ,4721.0,15489,-0.633333,-78.533333
Pico El León,4720.0,15486,8.510278,-71.100833
Ushba,4710.0,15453,43.12486,42.65901
Domuyo,4709.0,15449,-36.6397,-70.433
Pico Pan de Azúcar,4680.0,15354,8.8,-70.983333
Naltar Peak,4678.0,15348,36.106389,74.195833
Mount Fairweather,4663.0,15299,58.906389,-137.526667
Pico Mucuñuque,4660.0,15289,8.755278,-70.800833
Khazret Sultan,4643.0,15233,38.948333,68.172222
Sierra Negra,4640.0,15223,18.983333,-97.316667
Dufourspitze,4634.0,15203,45.936833,7.867056
Dunantspitze,4632.0,15197,45.936944,7.867778
Nordend,4609.0,15121,45.942222,7.87
Mount Hubbard,4577.0,15016,60.318611,-139.072222
Nevado de Toluca,4577.0,15016,19.101667,-99.7675
Mount Meru (Tanzania),4566.0,14980,-3.246667,36.748333
Zumsteinspitze,4563.0,14970,45.931944,7.871389
Signalkuppe,4554.0,14941,45.927222,7.876944
Dom ,4545.0,14911,46.095,7.86
Ras Dashen,4533.0,14872,13.235833,38.370833
Lyskamm,4533.0,14872,45.9225,7.835556
Mount Bear,4521.0,14833,61.283889,-141.142222
Mount Wilhelm,4509.0,14793,-5.8,145.033333
Mount Karisimbi,4507.0,14787,-1.508333,29.445
Mount Walsh,4507.0,14787,61,-140.016667
Belukha ,4506.0,14783,49.8075,86.59
Weisshorn,4506.0,14783,46.101667,7.716111
Tebulosmta,4493.0,14741,42.573333,45.3175
Täschhorn,4491.0,14734,46.083611,7.857222
Mount Bazardüzü,4485.0,14715,41.224444,47.858333
Matterhorn,4478.0,14692,45.976389,7.658611
Mount Rutford,4477.0,14688,-78.6,-85.3
Mont Maudit,4465.0,14649,45.847778,6.875833
Mount Shani,4451.0,14603,42.675833,44.7575
Dena,4448.0,14593,30.95,51.433333
Vladimir Putin Peak,4446.0,14587,42.471667,74.158333
Mount Hunter (Alaska),4442.0,14573,62.950833,-151.089444
Parrotspitze,4432.0,14541,45.919722,7.871389
Malinche ,4430.0,14534,19.230833,-98.031944
Mount Whitney,4421.0,14505,36.578581,-118.291995
Mount Alverstone,4420.0,14501,60.351667,-139.075278
University Peak (Alaska),4411.0,14472,61.327222,-141.785278
Aello Peak,4403.0,14446,61.365278,-141.898611
Mount Elbert,4402.0,14442,39.117751,-106.445358
Mount Massive,4395.0,14419,39.187465,-106.4757
Mount Harvard,4395.0,14419,38.924408,-106.320735
Mount Rainier,4392.0,14409,46.852886,-121.760374
Apharwat Peak,4390.0,14403,33.99954,74.325517
Kholeno,4387.0,14393,36.064722,51.551944
Mount Williamson,4382.0,14377,36.656046,-118.311205
Tavan Bogd,4374.0,14350,49.145833,87.819167
Blanca Peak,4374.0,14350,37.577227,-105.485845
La Plata Peak,4372.0,14344,39.029352,-106.472905
Mount Giluwe,4368.0,14331,-6.043333,143.886667
Burchula,4364.0,14318,42.783028,43.696972
Uncompahgre Peak,4361.0,14308,38.071658,-107.462089
Dent Blanche,4357.0,14295,46.034167,7.611944
Crestone Peak,4357.0,14295,37.966667,-105.585287
Mount Lincoln (Colorado),4354.0,14285,39.351451,-106.111567
Azad Kooh,4355.0,14288,36.166667,51.5
Grays Peak,4350.0,14272,39.633883,-105.81757
Mount Evans,4350.0,14272,39.588316,-105.643806
Quandary Peak,4350.0,14272,39.397276,-106.106374
Lalveri,4350.0,14272,43.070833,43.016111
Mount Antero,4349.0,14268,38.674095,-106.246186
Torreys Peak,4349.0,14268,39.642812,-105.821165
Castle Peak (Colorado),4348.0,14265,39.009738,-106.86136
Longs Peak,4345.0,14255,40.255014,-105.615115
McArthur Peak,4344.0,14252,60.606389,-140.213611
Mount Wilson (Colorado),4342.0,14245,37.839161,-107.991458
White  Peak,4342.0,14245,37.634095,-118.255656
North Palisade,4341.0,14242,37.09426,-118.514455
Ludwigshöhe ,4341.0,14242,45.917222,7.862222
Mount Shavano,4337.0,14229,38.619154,-106.239328
Volcán de Colima,4330.0,14206,19.512727,-103.617241
Crestone Needle,4327.0,14196,37.964722,-105.576675
Mount Belford,4327.0,14196,38.960688,-106.360707
Mount Princeton,4327.0,14196,38.749208,-106.242437
Mount Shasta,4322.0,14180,41.409196,-122.194888
Mount Elgon,4321.0,14177,1.118333,34.525
Mount Bross,4320.0,14173,39.335446,-106.107726
Kit Carson Peak,4318.0,14167,37.979722,-105.602509
Mount Wrangell,4317.0,14163,62.00572,-144.01935
Maroon Bells,4315.0,14157,39.070849,-106.988992
Tabeguache Peak,4315.0,14157,38.625499,-106.250855
El Diente Peak,4315.0,14157,37.839438,-108.005347
Mount Sill,4314.0,14154,37.096054,-118.503506
Grand Combin,4313.0,14150,45.9375,7.299167
Mount Oxford (Colorado),4313.0,14150,38.964815,-106.338815
Mount Sneffels,4312.0,14147,38.003836,-107.792348
Mount Democrat,4312.0,14147,39.33961,-106.14004
Capitol Peak (Colorado),4307.0,14131,39.15026,-107.08294
Pikes Peak,4302.0,14114,38.840532,-105.044205
Mount Russell (California),4296.0,14094,36.590671,-118.289036
Snowmass ,4295.0,14091,39.118755,-107.066458
Lenzspitze,4294.0,14088,46.104639,7.868444
Mount Eolus,4292.0,14081,37.621778,-107.622693
Windom Peak,4292.0,14081,37.621166,-107.591879
Challenger Point,4292.0,14081,37.980278,-105.606676
Mount Columbia (Colorado),4291.0,14078,38.903936,-106.297499
Mount Adishi,4290.0,14075,43.032167,42.866722
Mount Augusta,4290.0,14075,60.305278,-140.460278
Humboldt Peak (Colorado),4287.0,14065,37.976111,-105.555286
Split  (California),4287.0,14065,37.020941,-118.42241
Mount Bierstadt,4286.0,14062,39.582598,-105.668785
Diklosmta,4285.0,14058,42.492222,45.780833
Sunlight Peak,4285.0,14058,37.627222,-107.595893
Mount Sidley,4285.0,14058,-77.033333,-126.1
Missouri ,4282.0,14049,38.947565,-106.378498
Culebra Peak,4282.0,14049,37.122242,-105.185563
Handies Peak,4281.0,14045,37.912977,-107.504404
Ellingwood Point,4280.0,14042,37.582505,-105.492511
Mount Lindsey,4280.0,14042,37.584727,-105.440843
Little Bear Peak,4279.0,14039,37.566672,-105.497234
Mount Sherman,4278.0,14035,39.22499,-106.169743
Redcloud Peak,4277.0,14032,37.94083,-107.422002
Galeras,4276.0,14029,1.221111,-77.359167
Mount Langley,4275.0,14026,36.523269,-118.238977
Finsteraarhorn,4274.0,14022,46.537472,8.126028
Pyramid Peak (Colorado),4273.0,14019,39.071684,-106.950165
Mount Tyndall,4273.0,14019,36.655744,-118.337273
Wilson Peak,4272.0,14016,37.860272,-107.984791
Mount Muir,4272.0,14016,36.564739,-118.291329
San Luis Peak,4271.0,14012,37.986776,-106.931258
Wetterhorn Peak,4271.0,14012,38.06055,-107.510892
Middle Palisade,4271.0,14012,37.07029,-118.469138
Huron Peak,4269.0,14006,38.945527,-106.438079
Mount of the Holy Cross,4269.0,14006,39.466829,-106.481687
Thunderbolt Peak,4268.0,14003,37.097989,-118.517606
Sunshine Peak,4268.0,14003,37.922775,-107.425613
Mount Strickland,4260.0,13976,61.235556,-140.675
Pigeon Peak,4259.0,13973,37.632499,-107.646172
Mount Kennedy,4250.0,13944,60.341167,-138.966333
Pointe Bayeux,4258.0,13970,45.846389,6.843889
Mont Blanc du Tacul,4248.0,13937,45.856389,6.887778
Stecknadelhorn,4241.0,13914,46.111528,7.859667
Avalanche Peak (Yukon),4228.0,13871,61.24,-140.758889
Castor ,4223.0,13855,45.922222,7.792778
Zinalrothorn,4221.0,13848,46.064722,7.69
Volcán Tajumulco,4220.0,13845,15.043685,-91.903308
Hohberghorn,4219.0,13842,46.112694,7.853861
Turret Peak (Colorado),4217.0,13835,37.627499,-107.639783
Mount Darwin (California),4216.0,13832,37.167022,-118.672388
Mount Hayes,4216.0,13832,63.620833,-146.715278
Sacabaya,4215.0,13829,-18.616667,-68.75
Grandes Jorasses,4208.0,13806,45.868889,6.988056
Gannett Peak,4208.0,13806,43.184202,-109.654234
Mauna Kea,4207.0,13802,19.820667,-155.468056
Alphubel,4206.0,13799,46.062939,7.863911
Cofre de Perote,4201.0,13783,19.492,-97.15
Zard-Kuh,4200.0,13780,32.364444,50.0775
Shah Alborz,4200.0,13780,36.316667,50.75
Rimpfischhorn,4199.0,13776,46.023056,7.883889
Grand Teton,4199.0,13776,43.741208,-110.802414
Mount Cook (Saint Elias s),4196.0,13766,60.186389,-139.976667
Aletschhorn,4192.0,13753,46.4651,7.993661
Strahlhorn,4190.0,13747,46.013222,7.90175
Fremont Peak (Wyoming),4189.0,13743,43.124722,-109.618056
Mount Warren,4182.0,13720,43.163611,-109.628056
Mount Sidley,4181.0,13717,-77.033333,-126.1
